timestamp,action,target_decel,cost,predicted_risk,predicted_min_distance,predicted_min_ttc,ext_score,int_score,cross_score,fused_score,fused_level,lead_distance,lead_ttc,closing_speed,lead_warning_level,reasons
1782645357.301,KEEP,0.00,0.7727,0.8226,7.790,99.000,1.0000,0.0000,0.0000,0.3494,1,7.790,99.000,0.000,2,distance 7.8m | pred risk 0.82
1782645357.848,EMERGENCY_BRAKE,6.50,1.1550,1.0000,1.723,0.703,1.0000,0.0000,0.0000,0.3500,1,6.180,0.870,7.090,2,TTC 0.9s critical | distance 6.2m | closing 7.1m/s | pred risk 1.00
1782645358.382,EMERGENCY_BRAKE,6.50,1.1549,1.0000,0.000,0.000,1.0000,0.0000,0.0000,0.3492,1,8.300,0.140,57.370,0,TTC 0.1s critical | distance 8.3m | closing 57.4m/s | pred risk 1.00
1782645358.920,EMERGENCY_BRAKE,6.50,1.1544,1.0000,0.000,0.000,1.0000,0.0000,0.0000,0.3437,1,6.550,0.470,13.940,1,TTC 0.5s critical | distance 6.5m | closing 13.9m/s | pred risk 1.00
1782645359.462,BRAKE,3.50,0.8712,0.9008,5.679,2.060,0.8756,0.0000,0.0000,0.3052,1,9.120,2.060,4.420,1,TTC 2.1s | distance 9.1m | closing 4.4m/s | pred risk 0.90
1782645360.023,EMERGENCY_BRAKE,6.50,1.1541,1.0000,2.163,0.846,1.0000,0.0000,0.0000,0.3413,1,6.030,0.930,6.500,2,TTC 0.9s critical | distance 6.0m | closing 6.5m/s | pred risk 1.00
1782645360.556,BRAKE,3.50,0.9550,1.0000,2.334,1.350,1.0000,0.0000,0.0000,0.3499,1,4.160,1.350,3.090,2,TTC 1.4s | distance 4.2m | closing 3.1m/s | pred risk 1.00
1782645361.109,EMERGENCY_BRAKE,6.50,1.0672,0.9160,2.280,1.490,0.8600,0.0000,0.0000,0.3146,1,2.650,1.490,1.780,2,TTC 1.5s | distance 2.6m critical | closing 1.8m/s | pred risk 0.92
1782645361.646,EMERGENCY_BRAKE,6.50,1.1512,1.0000,0.000,0.000,1.0000,0.0000,0.0000,0.3121,1,7.770,0.610,12.790,1,TTC 0.6s critical | distance 7.8m | closing 12.8m/s | pred risk 1.00
1782645362.201,BRAKE,3.50,0.8478,0.8784,6.284,3.070,0.8352,0.0000,0.0000,0.2904,1,7.450,3.070,2.430,1,TTC 3.1s | distance 7.5m | closing 2.4m/s | pred risk 0.88
1782645362.746,BRAKE,3.50,0.8933,0.9354,4.744,3.140,0.9115,0.0000,0.0000,0.3195,1,5.390,3.140,1.720,2,TTC 3.1s | distance 5.4m | closing 1.7m/s | pred risk 0.94
1782645363.283,BRAKE,3.50,0.8228,0.8439,7.214,3.910,0.8935,0.0000,0.0000,0.3280,1,8.030,3.910,2.060,2,TTC 3.9s | distance 8.0m | closing 2.1m/s | pred risk 0.84
1782645363.851,KEEP,0.00,0.6979,0.7720,2.585,99.000,1.0000,0.0000,0.0000,0.3351,1,2.690,99.000,0.070,2,distance 2.7m critical | pred risk 0.77
1782645364.391,EMERGENCY_BRAKE,6.50,1.1548,1.0000,0.493,0.387,1.0000,0.0000,0.0000,0.3483,1,3.280,0.600,5.420,1,TTC 0.6s critical | distance 3.3m | closing 5.4m/s | pred risk 1.00
1782645364.925,BRAKE,3.50,0.8735,0.9100,2.254,2.300,0.8500,0.0000,0.0000,0.3098,1,2.610,2.300,1.140,1,TTC 2.3s | distance 2.6m critical | closing 1.1m/s | pred risk 0.91
1782645365.456,EMERGENCY_BRAKE,6.50,1.1549,1.0000,0.000,0.000,1.0000,0.0000,0.0000,0.3487,1,10.120,0.820,12.330,2,TTC 0.8s critical | distance 10.1m | closing 12.3m/s | pred risk 1.00
1782645365.995,BRAKE,3.50,0.7969,0.8195,7.874,5.230,0.7974,0.0000,0.0000,0.2878,1,8.470,5.230,1.620,1,distance 8.5m | closing 1.6m/s | pred risk 0.82
1782645366.551,BRAKE,3.50,0.8219,0.8509,7.024,4.750,0.8293,0.0000,0.0000,0.2883,1,7.610,4.750,1.600,1,TTC 4.8s | distance 7.6m | closing 1.6m/s | pred risk 0.85
1782645367.089,BRAKE,3.50,0.8736,0.9238,3.420,99.000,0.8958,0.0000,0.0000,0.3019,1,3.420,99.000,0.000,0,distance 3.4m | pred risk 0.92
